,Age,Gender,Location,Occupation,Income Bracket,Credit Score,Channel,Device Type,Loans Accessed,Savings Accessed,Monthly Avg Balance,Loans Taken,Repayment Misses,Overdraft Events,Failed Payments,Current Plan,Payment Mode,Tickets Raised,Resolution Time (hrs),Sentiment Score,Survey Feedback,Churned,Onboarding Year,Onboarding Month,Customer Tenuer Year,Total Logins,Support Intensity
0,49,Other,West,Retired,Low,792,Branch,iOS,0,1,26802.23575,1,1,1,0,Silver,Auto,4.0,26.99394632,0.570978073,Bad,0,2019,7,6,32.0,0.1481813719484347
1,53,Male,West,Salaried,Low,356,Online,Web,3,1,65638.37322,2,0,9,0,Platinum,Auto,0.0,101.5370312,0.832714071,Good,1,2011,3,14,7.0,0.0
2,67,Female,North,Self-employed,Medium,441,Branch,Web,1,1,63524.16316,1,0,2,0,Basic,Manual,2.0,29.37927132,0.442001411,Bad,0,2017,11,8,20.400753212228622,0.0680752077958617
3,54,Male,South,Self-employed,Medium,708,Online,Android,0,1,53295.2308,0,0,3,0,Gold,Auto,1.0,167.6186384,0.264915459,Neutral,0,2017,3,8,17.0,0.005965923655898161
4,65,Male,South,Student,Medium,377,Online,iOS,0,1,48054.91325,1,1,1,0,Gold,Auto,0.0,5.694074743,0.253204709,Good,0,2011,4,14,22.0,0.0
5,31,Female,North,Student,High,301,Branch,iOS,1,1,47079.62751,1,0,2,0,Platinum,Auto,1.0,94.62003801,0.278974602,Bad,0,2013,7,12,22.0,0.010568585904545019
6,44,Female,North,Self-employed,Medium,334,Branch,Android,1,1,48131.763028208115,1,0,6,0,Basic,Auto,1.0,4.297185045,0.164741884,Neutral,0,2021,3,4,26.0,0.2327104812867094
7,36,Other,East,Student,High,694,Branch,Web,2,1,50522.62831,3,1,5,0,Platinum,Manual,1.0,32.28079847,0.31648385,Bad,1,2014,7,11,20.0,0.030978168056448326
9,63,Other,North,Student,High,366,Online,Android,1,1,14114.90568,2,0,3,0,Gold,Auto,0.0,5.04431591,0.107783904,Bad,0,2021,10,4,27.0,0.0
10,26,Other,North,Self-employed,Low,368,Agent,Web,1,1,46929.58318,2,1,2,0,Basic,Manual,4.0,54.65906759,0.619893515,Good,0,2014,4,11,26.0,0.07318090440188572
11,55,Male,West,Self-employed,High,523,Online,Android,3,1,28211.86047,0,1,5,0,Platinum,Auto,3.0,38.67236676,0.334321209,Good,1,2019,3,6,21.0,0.07757477111804263
12,34,Male,South,Self-employed,High,660,Agent,Web,1,1,38725.83151,1,0,2,0,Gold,Auto,0.0,3.514434093,0.709339915,Neutral,1,2014,9,11,10.0,0.0
13,36,Male,East,Salaried,Low,757,Online,Android,1,1,53620.15979,0,2,2,1,Platinum,Manual,2.0,13.19987922,0.624311821,Neutral,0,2017,2,8,14.0,0.15151653789147324
14,61,Female,North,Self-employed,High,593,Branch,iOS,0,1,67907.63024,0,0,0,0,Platinum,Auto,1.0,80.49151183,0.601879418,Bad,0,2012,2,13,19.0,0.012423670238820014
15,21,Female,North,Student,Medium,625,Branch,Android,1,1,30768.83296,0,0,2,0,Basic,Manual,2.0,60.20405245,0.276692281,Neutral,0,2018,11,7,19.0,0.03322035508591416
16,65,Other,East,Self-employed,Medium,502,Branch,iOS,0,1,37485.70152,1,1,2,1,Basic,Manual,2.0,37.75458974,0.085910716,Good,0,2017,7,8,19.0,0.052973691775573775
17,28,Other,West,Salaried,Low,596,Agent,Web,1,1,63236.72903,1,1,0,0,Gold,Auto,1.0,111.5839242,0.804700795,Bad,0,2020,6,5,29.0,0.00896186441881742
18,39,Other,West,Student,Low,560,Branch,Android,1,1,71147.71845,0,0,3,1,Basic,Manual,2.0,7.527131982,0.596683641,Bad,0,2017,5,8,19.0,0.2657054512638676
19,21,Female,North,Retired,High,817,Online,Web,0,1,59968.24512,2,2,2,0,Platinum,Manual,1.0,150.6689925,0.385301085,Bad,0,2013,11,12,20.0,0.006637065685562343
20,34,Other,South,Self-employed,High,431,Branch,Web,0,1,51870.31889,1,1,1,0,Platinum,Auto,3.0,38.48150723,0.724755953,Good,0,2013,2,12,20.0,0.07795952435202991
21,25,Other,South,Self-employed,High,624,Branch,Android,0,1,46160.011,2,0,1,0,Platinum,Auto,2.0,8.456237009,0.416359976,Bad,0,2014,7,11,20.0,0.2365118193673372
23,51,Male,East,Student,High,425,Agent,Web,0,1,67723.6063,1,0,1,0,Platinum,Manual,2.0,8.387387232,0.154063905,Bad,0,2013,3,12,23.0,0.23845328046492179
24,28,Female,South,Self-employed,Medium,692,Branch,iOS,2,1,46163.37176,0,1,1,1,Gold,Auto,2.0,47.21659827,0.160330866,Bad,0,2021,3,4,21.400753212228622,0.04235798582022669
25,48,Other,East,Salaried,Medium,701,Agent,iOS,1,1,61441.57832,1,2,3,0,Basic,Manual,5.0,22.93570499,-0.206439788,Good,0,2013,8,12,23.0,0.21800071121336828
26,28,Male,East,Student,High,635,Agent,Android,1,1,51573.94658,1,0,3,1,Silver,Manual,2.0,2.25932133,0.553694487,Good,0,2014,12,11,8.0,0.8852215811196719
27,55,Female,East,Self-employed,Low,328,Branch,Web,0,1,55747.82604,1,1,6,1,Silver,Manual,1.0,2.924843763,0.460158478,Bad,0,2018,7,7,16.0,0.3418986041751181
28,38,Male,West,Student,Medium,344,Online,Android,2,1,60007.16427,1,0,1,0,Silver,Auto,1.0,33.76572517,0.47210655,Good,0,2021,5,4,22.0,0.029615830697113973
29,63,Male,South,Self-employed,Low,400,Agent,iOS,1,1,53684.79798,1,2,3,0,Basic,Manual,3.0,159.2770501,0.686809154,Bad,0,2018,8,7,24.0,0.018835105234033964
30,47,Other,West,Retired,Medium,525,Online,iOS,1,1,49368.61937,2,0,2,0,Platinum,Auto,3.0,0.596934566,0.763495907,Neutral,0,2015,11,10,16.0,5.0256764658523725
31,27,Female,South,Self-employed,High,718,Agent,Android,1,1,63531.97248,0,2,5,0,Gold,Auto,3.0,9.383776405,0.559886282,Neutral,0,2018,9,7,21.0,0.31970071222088114
32,43,Other,North,Student,High,561,Branch,Android,4,1,43293.43457,1,1,1,0,Silver,Auto,2.0,23.9403834,0.605741418,Neutral,0,2020,1,5,21.0,0.08354085089547897
33,44,Female,East,Self-employed,Low,591,Online,Web,4,1,41924.7451,0,0,3,0,Basic,Manual,1.0,6.632580567,0.434129126,Neutral,1,2020,2,5,18.0,0.1507708786796257
34,25,Female,South,Self-employed,High,511,Online,iOS,3,1,46515.69152,5,0,3,0,Silver,Auto,0.0,45.84270148,0.529784201,Neutral,1,2018,5,7,14.400753212228622,0.0
35,56,Female,South,Student,Low,755,Agent,Web,4,1,25464.33884,1,2,2,1,Silver,Auto,3.0,12.02714714,0.180732011,Bad,1,2020,11,5,15.0,0.24943571115236227
36,25,Male,North,Self-employed,Low,535,Online,iOS,2,1,71839.45026,2,1,5,0,Platinum,Manual,3.0,35.9869853,0.443733607,Bad,0,2016,2,9,24.0,0.08336347084900163
37,25,Male,West,Self-employed,Medium,833,Branch,iOS,0,1,43259.79439,0,2,6,0,Gold,Manual,1.0,239.0544954,0.869040671,Bad,0,2016,11,9,24.0,0.0041831466014757065
38,51,Other,South,Student,Medium,368,Online,Android,1,1,49056.2257,1,1,3,0,Platinum,Manual,0.0,85.27602859,0.677673652,Good,0,2014,6,11,24.0,0.0
39,33,Female,South,Retired,High,545,Online,Web,0,1,26733.26571,0,1,3,1,Basic,Manual,1.0,8.831622986,0.194847352,Good,0,2016,8,9,20.0,0.11322947113856792
41,30,Male,West,Salaried,Medium,630,Online,iOS,0,1,77084.24718,0,1,0,0,Silver,Auto,0.0,2.327007883,0.864976455,Bad,0,2011,3,14,26.0,0.0
42,40,Female,South,Salaried,High,662,Online,Android,0,1,30205.67593,1,0,0,0,Basic,Auto,1.0,24.1275092,0.498690878,Bad,0,2015,7,10,24.0,0.04144646642596659
44,44,Female,North,Salaried,Medium,764,Online,Web,1,1,48908.91682,0,0,1,0,Basic,Manual,3.0,2.641432564,0.200430565,Bad,0,2017,1,8,19.0,1.1357473368379356
45,39,Female,North,Salaried,High,528,Branch,Android,1,1,44219.41031,0,0,3,0,Silver,Manual,1.0,1.760375038,0.232447109,Bad,0,2015,10,10,20.0,0.5680607702413921
46,49,Male,East,Student,Medium,808,Online,Web,1,1,44492.06929,1,1,2,0,Gold,Auto,1.0,169.2294885,0.151242408,Neutral,0,2016,1,9,21.0,0.005909135629160753
47,66,Female,South,Student,Low,681,Online,Android,1,1,22279.0713,2,1,2,0,Gold,Auto,1.0,30.72976559,0.876785343,Bad,0,2021,11,4,20.0,0.032541738630294574
48,44,Other,North,Student,High,426,Branch,Android,2,1,42966.16094,2,1,1,0,Gold,Auto,2.0,74.01878793,0.118119741,Good,0,2020,7,5,16.0,0.02702016685130553
50,62,Other,North,Retired,Medium,542,Online,Web,2,1,33909.69714,0,0,5,1,Basic,Auto,5.0,56.69066249,0.361563411,Neutral,1,2013,8,12,15.0,0.08819794619408407
51,50,Other,East,Retired,Low,444,Agent,iOS,2,1,76242.19413,5,0,1,0,Gold,Manual,2.0,21.50435184,0.522844719,Good,0,2011,10,14,15.400753212228622,0.09300443067899505
52,43,Male,West,Salaried,Medium,738,Agent,iOS,3,1,27430.67608,1,1,5,0,Gold,Auto,6.0,16.48069773,-0.066708272,Neutral,1,2017,10,8,14.0,0.36406225624040983
